buildtype          debug   debugoptimized   release   minsize
gcc-14             20305   48404            48942     42666
gcc-13             20325   48164            48804     43537
gcc-12             20058   47761            48279     44425
gcc-11             20209   47893            48150     44585
clang-18           23597   48550            48816     42338
clang-17           23404   48531            48337     41903
clang-16           23479   48462            47638     42153
clang-15           23754   48338            48401     42249
clang-14           23521   47179            48310     42215
clang-13           25748   48333            48115     41933
"Apple clang (15)" 23440   48349            48557     40516
